Date,Adj Close,Close,High,Low,Open,Volume,Return,Log Return,Rolling Mean,Rolling Std,Volatility
2015-01-09,14.846500396728516,14.846500396728516,15.143500328063965,14.833999633789062,15.074000358581545,51848000,-0.011748610100441481,-0.011818170381278284,-0.007532695086535113,0.015457428436788394,0.2453790693139199
2015-01-12,14.570500373840332,14.570500373840332,14.92549991607666,14.46399974822998,14.878000259399414,68428000,-0.018590241168821242,-0.018765211590182393,-0.007147285295663974,0.015071954825731293,0.23925986544290911
2015-01-13,14.737000465393066,14.737000465393066,15.074999809265137,14.661499977111816,14.87399959564209,82728000,0.0114272047823194,0.011362407445480715,-0.0002951774263750595,0.013900161130524662,0.22065821721056814
2015-01-14,14.66349983215332,14.66349983215332,14.795499801635742,14.324999809265137,14.596500396728516,110774000,-0.00498748937494764,-0.004999968410075042,-0.003412623369083256,0.012525814645233144,0.19884114311866585
2015-01-15,14.34749984741211,14.34749984741211,14.800000190734863,14.340999603271484,14.699999809265137,88384000,-0.02155010661563239,-0.021785701035730624,-0.009089848495504671,0.013137383036571543,0.20854949035780124
2015-01-16,14.536999702453612,14.536999702453612,14.53950023651123,14.262499809265137,14.314000129699709,69564000,0.013207865973644317,0.013121402610750997,-0.004098553280687511,0.01624744018197111,0.25792011697736145
2015-01-20,14.472000122070312,14.472000122070312,14.66800022125244,14.319499969482422,14.62950038909912,61502000,-0.0044713201976834815,-0.0044813464480519555,-0.0012747690864599592,0.014196640459245943,0.22536468064657542
2015-01-21,14.862500190734863,14.862500190734863,15.300000190734863,14.36299991607666,14.482000350952148,201302000,0.0269831443733215,0.0266255183222718,0.0018364188317404606,0.018674517951890745,0.296448782128285
2015-01-22,15.515999794006348,15.515999794006348,15.612500190734863,15.0,15.0,107252000,0.043969695198313286,0.04303046145131587,0.011627855746392645,0.025711070343543606,0.4081505884218265
2015-01-23,15.619500160217283,15.619500160217283,15.846500396728516,15.38599967956543,15.404000282287598,89928000,0.006670557333399607,0.006648407611927956,0.017271988536199046,0.018766679242458322,0.2979117972603765
